name,lat,lng
East Coast Lagoon Food Village,1.30772996,103.9343033
Jurong West Hawker Centre,1.3412229999999998,103.697374
Bukit Merah View Blk 115 (Blk 115 Bukit Merah View Market and Food Centre),1.28524005,103.8223724
Geylang Bahru Blk 69 (Blk 69 Geylang Bahru Market and Food Centre),1.32152998,103.8700714
Ghim Moh Road Blk 20,1.31105995,103.7882919
Telok Blangah Crescent Blk 11 (11 Telok Blangah Crescent Market and Food Centre),1.27743995,103.8187332
Toa Payoh Lorong 4 Blk 93,1.33853996,103.8495712
Toa Payoh Lorong 5 Blk 75,1.33609998,103.8529968
Toa Payoh Lorong 8 Blk 210,1.34033001,103.8544617
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.31508994,103.8716812
New Market Road Blk 32 (People's Park Food Centre),1.28487098,103.8425903
New Upper Changi Road Blk 58,1.32516551,103.940155
Newton Food Centre,1.3122249799999999,103.8397293
North Bridge Road Market,1.3058470500000001,103.8638611
Pasir Panjang Food Centre,1.27565897,103.7915573
Dunman Food Centre,1.309412,103.901825
Tanglin Halt Market,1.3008500299999999,103.7976837
Circuit Road Blk 80 (80 Circuit Road Market and Food Centre),1.32790005,103.8871536
Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),1.38066268,103.8407516
Commonwealth Drive Blk 1A/2A/3A (Tanglin Halt Food Centre/Commonwealth Drive Food Centre),1.29955006,103.7980194
Adam Road Food Centre,1.32413197,103.8141632
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),1.32070994,103.8870926
Bukit Timah Market,1.33964503,103.7758026
Circuit Road Blk 89,1.32363999,103.8855209
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.31433797,103.7707748
Ci Yuan Hawker Centre,1.3749377,103.8829472
Yishun Ring Road Blk 104/105 (Chong Pang Market and Food Centre),1.43165803,103.8280716
Upper Cross Street Blk 531A (Hong Lim Food Centre and Market),1.28446996,103.8458633
West Coast Drive Blk 502 (Ayer Rajah Market),1.3119599800000001,103.7591019
Jalan Kukoh Blk 1 (Kukoh 21 Food Centre),1.28831995,103.8399963
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.34536004,103.7315826
Boon Lay Place Blk 221A/B (Boon Lay Place Market and Food Village),1.34528005,103.7128525
Telok Blangah Drive Blk 79 (Telok Blangah Food Centre),1.27342999,103.8076782
Telok Blangah Drive Blk 82 (Telok Blangah Market),1.27398002,103.8079987
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),1.27266002,103.8221283
Jurong East Street 24 Blk 254 (Yuhua Village Market and Food Centre),1.34343302,103.7376862
Jurong West Street 52 Blk 505,1.34969997,103.7184601
