plannin_area,subzone,age_group,sex,count
ang mo kio,ang mo kio town centre,0-4,m,130
ang mo kio,cheng san,0-4,m,670
ang mo kio,chong boon,0-4,m,460
ang mo kio,kebun bahru,0-4,m,380
ang mo kio,sembawang hills,0-4,m,90
ang mo kio,shangri-la,0-4,m,390
ang mo kio,tagore,0-4,m,160
ang mo kio,townsville,0-4,m,610
ang mo kio,yio chu kang east,0-4,m,80
ang mo kio,yio chu kang west,0-4,m,510
bedok,bayshore,0-4,m,220
bedok,bedok north,0-4,m,1690
bedok,bedok reservoir,0-4,m,610
bedok,bedok south,0-4,m,1070
bedok,frankel,0-4,m,810
bedok,kaki bukit,0-4,m,720
bedok,kembangan,0-4,m,700
bedok,siglap,0-4,m,110
bishan,bishan east,0-4,m,520
bishan,marymount,0-4,m,740
bishan,upper thomson,0-4,m,540
bukit batok,bukit batok central,0-4,m,540
bukit batok,bukit batok east,0-4,m,260
bukit batok,bukit batok south,0-4,m,270
bukit batok,bukit batok west,0-4,m,310
bukit batok,gombak,0-4,m,290
bukit batok,guilin,0-4,m,280
bukit batok,hillview,0-4,m,330
bukit batok,hong kah north,0-4,m,550
bukit merah,alexandra hill,0-4,m,290
bukit merah,alexandra north,0-4,m,30
bukit merah,bukit ho swee,0-4,m,380
bukit merah,bukit merah,0-4,m,20
bukit merah,depot road,0-4,m,150
bukit merah,everton park,0-4,m,200
bukit merah,henderson hill,0-4,m,270
bukit merah,kampong tiong bahru,0-4,m,190
bukit merah,maritime square,0-4,m,90
bukit merah,redhill,0-4,m,380
bukit merah,telok blangah drive,0-4,m,340
bukit merah,telok blangah rise,0-4,m,250
bukit merah,telok blangah way,0-4,m,240
bukit merah,tiong bahru,0-4,m,350
bukit merah,tiong bahru station,0-4,m,500
bukit panjang,bangkit,0-4,m,410
bukit panjang,dairy farm,0-4,m,110
bukit panjang,fajar,0-4,m,880
bukit panjang,jelebu,0-4,m,660
bukit panjang,nature reserve,0-4,m,80
bukit panjang,saujana,0-4,m,830
bukit panjang,senja,0-4,m,800
bukit timah,anak bukit,0-4,m,370
bukit timah,coronation road,0-4,m,130
bukit timah,farrer court,0-4,m,110
bukit timah,hillcrest,0-4,m,180
bukit timah,holland road,0-4,m,250
bukit timah,leedon park,0-4,m,140
bukit timah,swiss club,0-4,m,110
bukit timah,ulu pandan,0-4,m,230
changi,changi point,0-4,m,10
changi,changi west,0-4,m,80
choa chu kang,choa chu kang central,0-4,m,430
choa chu kang,choa chu kang north,0-4,m,580
choa chu kang,keat hong,0-4,m,250
choa chu kang,peng siang,0-4,m,750
choa chu kang,teck whye,0-4,m,520
choa chu kang,yew tee,0-4,m,1120
clementi,clementi central,0-4,m,280
clementi,clementi north,0-4,m,540
clementi,clementi west,0-4,m,370
clementi,clementi woods,0-4,m,400
clementi,faber,0-4,m,90
clementi,sunset way,0-4,m,100
clementi,west coast,0-4,m,190
downtown core,bugis,0-4,m,20
downtown core,central subzone,0-4,m,10
downtown core,tanjong pagar,0-4,m,10
geylang,aljunied,0-4,m,790
geylang,geylang east,0-4,m,740
geylang,kampong ubi,0-4,m,250
geylang,macpherson,0-4,m,510
hougang,hougang central,0-4,m,60
hougang,hougang east,0-4,m,530
hougang,hougang west,0-4,m,860
hougang,kangkar,0-4,m,520
hougang,kovan,0-4,m,490
hougang,lorong ah soo,0-4,m,580
hougang,tai seng,0-4,m,280
hougang,trafalgar,0-4,m,970
jurong east,lakeside,0-4,m,10
jurong east,teban gardens,0-4,m,450
jurong east,toh guan,0-4,m,320
