name,codes,lat,lng,opening_year,type
Eunos,EW7,1.3197782848869883,103.90325213335886,1989,mrt
Chinese Garden,EW25,1.3423521542087522,103.73259640485368,1988,mrt
Khatib,NS14,1.4173827034869275,103.8329795744054,1988,mrt
Kranji,NS7,1.4251770321043908,103.76216507762184,1996,mrt
Redhill,EW18,1.2895620597351771,103.81681633682066,1988,mrt
Yew Tee,NS5,1.397534351127437,103.74740478088701,1996,mrt
Pioneer,EW28,1.3375862155395857,103.69732117985001,2009,mrt
Commonwealth,EW20,1.3024380686600578,103.79830418230856,1988,mrt
Paya Lebar,EW8/CC9,1.3177705084692333,103.89261926699366,1989,mrt
Simei,EW3,1.3432022282651752,103.95337136066445,1989,mrt
Tampines,EW2/DT32,1.3541887260035037,103.94410425957537,1989,mrt
Admiralty,NS10,1.4405843344190299,103.80098766749201,1996,mrt
Yishun,NS13,1.4294424141442492,103.83500471286108,1988,mrt
Pasir Ris,EW1,1.3729831069139988,103.94926778474311,1989,mrt
Clementi,EW23,1.3149538257568942,103.76529854103686,1988,mrt
Aljunied,EW9,1.316431944990924,103.8829057113044,1989,mrt
Ang Mo Kio,NS16/NS16,1.3696395728466657,103.849745229326,1987,mrt
Expo,CG1/DT35,1.3349652909203047,103.96196162553274,2001,mrt
Choa Chu Kang,NS4,1.3853610261628218,103.74434061293657,1990,mrt
Jurong East,EW24/NS1,1.3331519532278349,103.7422862107588,1988,mrt
Queenstown,EW19,1.2948602661277877,103.8058840005678,1988,mrt
Tuas Link,EW33,1.3404630989851132,103.6368783457052,2017,mrt
Gul Circle,EW30,1.319504548274108,103.66055262304035,2017,mrt
Woodlands,NS9/TE2,1.4364703880855214,103.78720763767264,1996,mrt
Tuas Crescent,EW31,1.321025886578594,103.64907514553484,2017,mrt
Kallang,EW10,1.3114882429751198,103.87138620801176,1989,mrt
Tuas West Road,EW32,1.329988422385877,103.63961372334988,2017,mrt
Buona Vista,EW21/CC22,1.3068369011605283,103.79042213929672,1988,mrt
Dover,EW22,1.3114046262584216,103.77863750833254,2001,mrt
Sembawang,NS11,1.4490501545608727,103.82004580721942,1996,mrt
Kembangan,EW6,1.3210375821845908,103.91294905496805,1989,mrt
Bukit Batok,NS2,1.349033441910397,103.74956643059208,1990,mrt
Boon Lay,EW27,1.338603387837881,103.70606428946985,1990,mrt
Bukit Gombak,NS3,1.3587611905951815,103.75189316881792,1990,mrt
Marsiling,NS8,1.4325137539694672,103.77407112796614,1996,mrt
Bedok,EW5,1.3239793022215751,103.92998416118782,1989,mrt
Joo Koon,EW29,1.3277165064270284,103.67837480986536,2009,mrt
Lakeside,EW26,1.3442585827289693,103.72094893529601,1988,mrt
Tanah Merah,EW4,1.3271864678725516,103.94634612714071,1989,mrt
Yio Chu Kang,NS15,1.3817553794462003,103.84494695641784,1987,mrt
Oasis,PE6,1.4022860108276491,103.9127270222293,,other
